Product Name,Price,Company Name,Product Type,Category,Product Property
Agricultural Tractor Manual Sale of 1 2 3 4 5 6 7 Rows Corn Seed Stick Wholesale Maize Planter and Seeder Machine in Peru for Tractor,US$ 199-599 / Piece (FOB Price),"Shandong Ling ke Industry Group Co., Ltd",seed planter,Agricultural Equipment,
Farm Equipments Corn Planter Corn Seed Planter,US$ 300-500 / Piece (FOB Price),"YUCHENG HONGRI MACHINERY MANUFACTURE CO., LTD.",seed planter,Agricultural Equipment,
High Quality Agricultural Equipment Double Ridge Planter for Potato 4 Row Seeding Machine,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Farm Equipment 4 Row 5 Rows Corn Seed Planer Corn Planting Machine Corn Seed Planter for Tractors,US$ 690-850 / Set (FOB Price),"Yucheng Hengshing Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Hot Sale 2 Row Potato Farming Equipment Tractor Potato Planter Machine Pto Tractor Garlic Planter,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Planting Machine Agricultural Seeds Two Row Potato Seed Planter Machine for Sale,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
New Design Two Rows Agricultural Equipment Planting Machine Potato Planter with Fertilizer Applicator,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Farm Equipment Corn Sowing Machine Corn Seed Planter Hitched Maize Planting Machine,US$ 900-3500 / set (FOB Price),"Baoding Harvest Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
220V Automatic Hole Tray Seedling Machine Needle Suction Planting Machine Vegetable Seedling,US$ 8000-15000 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Farm Equipment Soybean Peanut Fertilizer and Transplanter Corn Seeder Machine Manual Seed,US$ 130-160 / Piece (FOB Price),"Dezhou Lufa Machinery Co., Ltd",seed planter,Agricultural Equipment,
Tractor 4 Rows Agricultural Seeds Potato Planter Seeder Machine with Wholesale Price,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Efficient Pneumatic Vegetable Planter Stable and Precise Farm Equipment,US$ 7000-9000 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Advanced Pneumatic Vegetable Planter for Agricultural Equipment on Farm,US$ 9500-13500 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Agricultural Seeder 4 Rows Potato Planter with Fertilizer Seeder Agricultural Equipment,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Cabbage Planter Cheap Radish Push Seeder for Sale Agricultural 5 Lines Machine,US$ 135-155 / Piece (FOB Price),"Qingdao Henry Industry Co., Ltd.",seed planter,Agricultural Equipment,
Advanced Farming Equipment Corn Seeder Precision Grain Crops Garlic Planter,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Farming Equipment Agricultural Corn Seed Precision Planter Air-Sucking Soybean Planter,US$ 500-900 / Piece (FOB Price),"Hebei Shuoxin Machinery Manufacturing Co., Ltd.",seed planter,Agricultural Equipment,
Agricultural Equipment Seeder/No Till Seed Drill/Seed Planter,US$ 500-900 / Piece (FOB Price),"Hebei Shuoxin Machinery Manufacturing Co., Ltd.",seed planter,Agricultural Equipment,
Durable Pneumatic Corn Planter for Large-Scale Agricultural Use No-Tillage Corn Planter with Fertilize Function Soybean Sorghum,US$ 3415-3865 / Piece (FOB Price),"HEBEI NONGHAHA AGRICULTURAL MACHINERY CO., LTD.
HEBEI NONGHAHA AGRICULTURAL MACHINERY CO., LTD.
Group Corporation
Diamond Member
Hebei, China
Audited Supplier
Sign In to see all verified strength labels (22)",seed planter,Agricultural Equipment,
20-80HP Tractor Potato Planting Machine Single-Row Potato Planter,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
Compact Energy-Efficient User-Centric Vegetable Planter for Organic Gardens,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Adaptable and Superior Sowing Quality Pneumatic Vegetable Planter of Onion,US$ 5000-24500 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Wholesale Professional China Factory Good Performance 4000L Seed Box Volume Tractor Trailed Potato Corn,,"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Factory Outlet Farm Machinery Precision Seed Drill Cost-Effective Farming Garlic Planter,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Wholesale Reliable Portable Hand Push Corn Planter Beans Seeder Peanut Planter Maize Seeder Planting Machine,US$ 45-80 / Piece (FOB Price),"Taizhou Weiyu Electromechanical Co., Ltd.",seed planter,Agricultural Equipment,
Top-Notch Fertilizer Seed Pusher Double Barrel Corn-Rice Planter,US$ 37-41 / Piece (FOB Price),"Taizhou Kesiwo Garden Tools Co., Ltd.",seed planter,Agricultural Equipment,
High Precision Potato Seed Planter Machine 1 Row 2 Rows 4 Row Walking Tractor Potato Planter for Sale,US$ 500-1000 / Roll (FOB Price),"Shandong Tiansheng Machinery Science and Technology Co., Ltd.",seed planter,Agricultural Equipment,
Farm Machinery Compact Small Vegetable Seed Planter Carrot Seeder Customized Wheat Rice Corn Seeder for Tractor for Sale,US$ 599 / Piece (FOB Price),"Shandong Ling ke Industry Group Co., Ltd",seed planter,Agricultural Equipment,
Corn Maize Soybean Tractor Precision Seed Planter,US$ 4670 / Piece (FOB Price),"Jiangsu Grande Machinery Manufacturing Co., Ltd.",seed planter,Agricultural Equipment,
Rotovator Small Field Cultivator Agriculture Product Seed Drill Threshing Machine Trailer Rotary Tiller Cylinder Roller,US$ 400-450 / Set (FOB Price),QINGDAO HANNSTAR TECHNOLOGY COMPANY LIMITED,seed planter,Agricultural Equipment,
Yaao 2bmyfj-5 Series of Precision Corn Planter with Fertilizer Corn Seeder,US$ 2985.3-3152.8 / Set (FOB Price),"Xi'an Yaao Agricultural Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Vegetable Seeder with Seeding Rollers /Carrot Onion Seed Planting Walking Vegetable Planter,US$ 2498 / Piece (FOB Price),"Zhengzhou Xiangkun Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Factory Direct Sales Durable Corn Seeder Corn Planter with Tractor 4-12 HP Multi-Functional Corn Seeder Customizable Rows,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Durable Manual Potato Planter for Sustainable Farming Needs,US$ 3200 / Piece (FOB Price),"Dezhou Hongyou Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Farm Machinery Equipment Garden Tool Hand Push Vegetable Planter Manual Onion Seeder Planter,US$ 130-160 / Piece (FOB Price),"Dezhou Lufa Machinery Co., Ltd",seed planter,Agricultural Equipment,
High Sowing Efficiency and Stability Pneumatic Vegetable Planter of Onion,US$ 12000-14000 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Seeder Manual Fertilizer Seeder/Walking Tractor Wheat Planter for Sale,US$ 149 / Piece (FOB Price),"Qingdao Mingsin Trade Co., Ltd.",seed planter,Agricultural Equipment,
Farm Machinery 3 Point Hitch Corn Planter / Corn Seed Planting Machine,US$ 860-899 / Piece (FOB Price),"Jinan Alfing Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Agricultural Machinery Potato Planter,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
Tractor Mounted 4 Rows Precision Corn Soybean Seed Planter,US$ 1035-10151 / Piece (FOB Price),"YUCHENG HONGRI MACHINERY MANUFACTURE CO., LTD.",seed planter,Agricultural Equipment,
3 Point Hitch Soya Beans and Corn Seed Planter for Tractor,US$ 725-785 / Piece (FOB Price),QINGDAO HANNSTAR TECHNOLOGY COMPANY LIMITED,seed planter,Agricultural Equipment,
Tractor Coupled Four Row Potato Planter on Sale,US$ 599 / Piece (FOB Price),"Shandong Ling ke Industry Group Co., Ltd",seed planter,Agricultural Equipment,
Cost-Effective Robust Easy-to-Operate Vegetable Planter for Small Farms,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Factory Wholesale 2 Ridge Potato Planter Working 4 Rows Seed Planter Suspension Tractor,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
China OEM Seed Drill Great Quality Corn Seeder Precision Agriculture Garlic Planter,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Potato Seeder Machine Hand Push Vegetables Precision Planter,US$ 1000 / Piece (FOB Price),"Ningbo Tower Machinery Co., Ltd",seed planter,Agricultural Equipment,
Factory Direct Sale Standardized Vegetable Planter for Seeds Company,US$ 5000-7000 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Brand New Potato Planting Equipment Potato Planter with Good Performance,US$ 2250-2400 / Set (FOB Price),"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Wheat and Rice Seed Planter with 24 Rows,US$ 3500-6800 / Piece (FOB Price),"YUCHENG MINGYUAN MACHINERY CO., LTD.
YUCHENG MINGYUAN MACHINERY CO., LTD.
Diamond Member
Audited Supplier
Shandong, China",seed planter,Agricultural Equipment,
New Agricultural Machinery Farming Tractor Hitched Single and Double Rows Potato Seed,US$ 500-1000 / Roll (FOB Price),"Shandong Tiansheng Machinery Science and Technology Co., Ltd.",seed planter,Agricultural Equipment,
Farm Machinery Vegetable Seeding by Hand Precision Drill Seed Planter,US$ 80-200 / Piece (FOB Price),"Qingdao Detongda International Trading Co., Ltd.",seed planter,Agricultural Equipment,
High-Precision Mechanical Corn Planter for Optimal Seed Placement,US$ 413-510 / Piece (FOB Price),"Shandong Platinum Dylan Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Automatic Potato Planter Machine Price 2 Rows Potato Seeder Planter,US$ 599 / Piece (FOB Price),"Shandong Ling ke Industry Group Co., Ltd",seed planter,Agricultural Equipment,
Save Time and Effort Hand Push Vegetable Planter on Sale,US$ 196 / pieces (FOB Price),"Yucheng Zeyi Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Corn Planter for 2 Wheeled Walking Tractor 15HP Power Tiller,US$ 85-175 / Piece (FOB Price),"Shan Dong Chang Mei Trading Co., Ltd.",seed planter,Agricultural Equipment,
Multi Row Planters for Agricultural Machinery,US$ 9805-9810 / Piece (FOB Price),"Sinomach-Hi International Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Multi-Functional Durable Peanut Planter with Fertilizer Application for Enhanced Yield,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Potato Planter 2 Row Corn Planter,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
36.7 - 58.8 Kw Tractor Potato Planter with Fertilizer 2 Rows Potato Planter,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Agricultural Machinery Multi Row Planters,US$ 9805-9810 / Set (FOB Price),"Sinomach-Hi International Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Easy and Efficient Seeder Precise Pneumatic Planter for Farm,US$ 4000-5000 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Farm Tract Pto Two Row Potato Planter Machine Poulty Farming Equipment China Supplier,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
2bf-24 High-Efficiency Multi-Functional Grain Precision Planter for Various Crops,US$ 7500-9999 / Piece (FOB Price),"Shandong New Camel Union International Co., LTD",seed planter,Agricultural Equipment,
,,,seed planter,Agricultural Equipment,
Hot Sale Customizable Agricultural Equipment Corn Seeder Planter with Farm Tractor,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
New Design Double Rows Multifunctional Flat Equipment Potato Planter,US$ 2250-2400 / Set (FOB Price),"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Yaao 2bfg-18 (9) (230) Wheat and Corn Planter Variable Speed Rotary Sowing Fertilizer Spreader,US$ 4121.2-4255.3 / Set (FOB Price),"Xi'an Yaao Agricultural Machinery Co., Ltd.",seed planter,Agricultural Equipment,
2025 New Model Versatile Potato Planter Tool for Quick and Easy Planting 2zmx-2,US$ 3200 / Piece (FOB Price),"Dezhou Hongyou Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Vegetable Carrot Planter Green Onion Vegetable and Onion Planter Factory Direct Sales,US$ 980-1200 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
Manufacturers Sell Sweet Potatoes Potato Planter for Tractor,US$ 668 / Piece (FOB Price),"Zhengzhou Runxiang Machinery Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Continuous and Stable Sowing Operations Pneumatic Vegetable Planter of Onion,US$ 5000-24500 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Brand New Farm Equipment Potato Seedling Machine Potato Planter,US$ 2250-2400 / Set (FOB Price),"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Corn Planter,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
China Supplier Tractor Mounted 4 Row High Accurate Potato Planter Other Agricultural Machinery &,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Eco-Conscious Low-Noise Energy-Efficient Potato Planter for Agricultural Farming,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Customized Corn Seeder Pneumatic Precision Corn Planter for Optimal Seed Distribution,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Farm Machinery Tractor 6 Rows Corn Planter Machine Corn Seed Planter,US$ 60-68 / Piece (FOB Price),"Qingdao Mingsin Trade Co., Ltd.",seed planter,Agricultural Equipment,
OEM Agricultural Machinery Tractor Three with Three Point Linkage Corn Planter No-Tillage Corn with Fertilize Function Soybean Sorghum,US$ 3415-3865 / Piece (FOB Price),"HEBEI NONGHAHA AGRICULTURAL MACHINERY CO., LTD.",seed planter,Agricultural Equipment,
Wide Working Width Large Seed Box Volume Applicable Row Spacing Tractor Mounted Potato with Fertilizer,,"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
4 Wheel Tractor Agriculture Machinery Equipment One Row Potato Planter,US$ 600-900 / Piece (FOB Price),"Qingdao Detongda International Trading Co., Ltd.
Qingdao Detongda International Trading Co., Ltd.
Diamond Member
Audited Supplier
Shandong, China",seed planter,Agricultural Equipment,
Agricultural Machinery Tractor Maize Seeder Corn Planter for Sale Planter,US$ 399-599 / Piece (FOB Price),"YUCHENG HONGRI MACHINERY MANUFACTURE CO., LTD.",seed planter,Agricultural Equipment,
China Factory Made Potato Planter Automatic Potato Planter Machine Price 2 Rows Potato Seeder,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
"Convenient, Fully Automatic and High Efficiency Pneumatic Planter for Farm",US$ 3500-4500 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Yaao 2byf-4 (250) Corn Seeder and Maize Planter for Agriculture,US$ 4424.3-4539 / Set (FOB Price),"Xi'an Yaao Agricultural Machinery Co., Ltd.",seed planter,Agricultural Equipment,
China Small Tractor Corn Seed Planter Maize Planting Machine 6-Row Corn Planter,US$ 725-785 / Piece (FOB Price),QINGDAO HANNSTAR TECHNOLOGY COMPANY LIMITED,seed planter,Agricultural Equipment,
111highly Adaptable Seed Drill Farm Machinery Pneumatic Precision Corn Planters for Wheat,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Agriculture Equipment Tools Garlic Seeds Precise No Till Air Suction Seed Planter,US$ 9599 / Pieces (FOB Price),"Jianhu Lucky Gold Trading Co., Ltd.",seed planter,Agricultural Equipment,
Garlic Grass Machine Agricultural Machinery Equipment Sunflower Grain Seeder Seed Planter,US$ 36-45 / Piece (FOB Price),"Shandong Kunhong Supply Chain Management Co., Ltd.",seed planter,Agricultural Equipment,
Four Rows Five Rows Six Rows Corn Planter Customizable Rows CE Certification Automatic Owing Depth Adjustment Corn Planting Machine Maize Seeder,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Factory Price Farm Machinery Advanced Seed Drill Garlic Corn Planter,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Fully Functional and Reasonable Structure Pneumatic Vegetable Planter of Onion,US$ 5000-24500 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
2200L Seed Box Volume 20ha/H Tractor Mounted Potato Planter with Fertilizer,,"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
New Farm Machinery Implement 2 Row Tractor Potato Planting Machine Potato Planter with Fertilizer,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
2200L Seed Box Volume Factory Price China Manufacturing Agricultural Machinery 4 Ridges Potato with Fertilizer,,"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Reliable Corn Planter and Seeder Machine with High Efficiency Design,US$ 20000-25000 / Set (FOB Price),"Shandong King Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Factory Price Corn Planter for Rice Soybeans Sorghum with CE Certification,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Advanced 2025 Pneumatic Precision Corn Planters for Efficient Farming,US$ 7186-8450 / Piece (FOB Price),"HEBEI NONGHAHA AGRICULTURAL MACHINERY CO., LTD.",seed planter,Agricultural Equipment,
Green Corn Seeder Planter by Maschio with Casting Metal Configuration,US$ 1170 / Piece (FOB Price),"XINGTAI VOKIN RUBBER & PLASTIC PRODUCTS CO., LTD.",seed planter,Agricultural Equipment,
Flexible Durable Space-Saving Potato Planter for Agricultural Farming Use,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
High Sowing Accuracy and Stable Sowing Operations Pneumatic Vegetable Planter of Onion,US$ 12000-14000 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
3 Point Potato Planter Machine Agricultural Equipment 4 Rows Sweet Potato Seeder,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Agriculture Wheat Seeder 24 Row Wheat Planter with Tire,US$ 2200-2400 / Piece (FOB Price),"Yucheng Hengshing Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Agricultural Fields Vegetable Planter Machinery Manufacture Factory Direct Selling,US$ 10000-30000 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Comfortable and Strong Sowing Uniformity Pneumatic Vegetable Planter of Onion,US$ 5000-24500 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Wholesale Affordable High-Capacity Wheat Planter for Commercial Grain Production,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Agricultural Farm Use Wholesale Planting Potatoes Tractor Mounted Potato Planter,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Farm Machinery Hot Sale Single Row Maize Cabbage Bean Spinach Watermelon Sunflower Portable Manual Seeding,US$ 11344-11744 / Set (FOB Price),"Sinomach-Hi International Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Potato Planter Supply Double Row Planter 2cm -4 Tractor Potato Planter,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
Hot Sale Tractor Machine 3 Point Two Row Potato Planter Seed Seeding Machine Mounted with Tractor,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Agricultural Machinery Multi Row Planters Seedling,US$ 9805-9810 / Piece (FOB Price),"Sinomach-Hi International Equipment Co., Ltd.
Sinomach-Hi International Equipment Co., Ltd.
Diamond Member
Shanghai, China
Audited Supplier
High Repeat Buyers Choice
Years of Export Experience
Sign In to see all verified strength labels (21)",seed planter,Agricultural Equipment,
Compact High-Efficiency Potato Planter Ideal for Small Gardens 2zmx-2,US$ 3200 / Piece (FOB Price),"Dezhou Hongyou Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Lightweight and Flexible Pneumatic Vegetable Planter of Onion,US$ 12000-14000 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
New Design Agricultural Machinery Farm Tractor Garlic Planting Seeder Planter,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
Hongyou Farm Machinery Potato Planting Machine Multiple Rows Potato Planter for Sale 2cm-2A,US$ 1600 / Piece (FOB Price),"Dezhou Hongyou Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Large Seed Box Volume Tractor Mounted Potato Planting Machine Potato Planter,,"Shandong Star Agricultural Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Agricultural Machinery Equipment Push Sunflower Grain & Transplanters Seeder Machine Planter,US$ 35-38 / Piece (FOB Price),"Linyi Fengrui Plant Protection Electronic Equipment Co., Ltd.",seed planter,Agricultural Equipment,
Tractor Mounted Potato Planter 3 Point Linkage Double Row Potato Planter with Fertilizer,US$ 2400-2600 / Set (FOB Price),"Qingdao Hong Zhu Agricultural Machinery Co., Ltd",seed planter,Agricultural Equipment,
Operate The User-Friendly and Consistent Seed Spacing Pneumatic Vegetable Planter of Onion,US$ 5000-24500 / Piece (FOB Price),"Qingdao Dashun Jingfeng Industry and Trade Co., Ltd.",seed planter,Agricultural Equipment,
Anon 2020 Factory Vegetable Seed Planter Carrot Onion Tomato Alfalfa Planter with Best Quality,US$ 139-879 / Set (FOB Price),"Wuhan Anon Tech-Trade Co., Ltd.",seed planter,Agricultural Equipment,
Potato Seeder 3 Point Potato Planter Machine Manufacturer Potato Planter for 2 Wheel Tractor,US$ 650-890 / Piece (FOB Price),"Yucheng Dingshengyuan Machinery Manufacturing Co., Ltd",seed planter,Agricultural Equipment,
"Home/Farm Wheat Planter, Quick and Easy to Operate",US$ 149 / Piece (FOB Price),"Qingdao Mingsin Trade Co., Ltd.",seed planter,Agricultural Equipment,
Hot Sale Cheap Price Paddy Rice Seed Planter Seeder Machine Transplanter Price 6 Row 238 mm Planting,US$ 870-970 / Piece (FOB Price),"Shandong Weito Import & Export Co., Ltd.",seed planter,Agricultural Equipment,
Yaao 2byf-4 (250) Seeding Machine Seeder Corn Precision Fertilizer Planter,US$ 4424.3-4539 / Set (FOB Price),"Xi'an Yaao Agricultural Machinery Co., Ltd.",seed planter,Agricultural Equipment,
Customized Pneumatic Precision Corn Planter for 24-Line Air Volume with CE Certification,US$ 10000 / set (FOB Price),"Shandong Gold Dafeng Machinery Co., Ltd.",seed planter,Agricultural Equipment,
High-Capacity Advanced Peanut Planter with Wide Coverage for Large Farms,US$ 300 / Piece (FOB Price),"Jinan Xinyiyin Import and Export Trading Co., Ltd.",seed planter,Agricultural Equipment,
